Year,Film,Language,Director,Writer,Cast,Producer
1982,Ezham Rathri,Malayalam,,,Kamal Haasan,
1982,Rani Theni,Tamil,,,Kamal Haasan,
1982,Yeh To Kamaal Ho Gaya,Hindi,,,Kamal Haasan,
1982,Pagadai Panirendu,Tamil,,,Kamal Haasan,
1982,Agni Sakshi,Tamil,,,"['Kamal Haasan', 'Rajinikanth']",
1983,Zara Si Zindagi,Hindi,,,Kamal Haasan,
1983,Uruvangal Maralam,Tamil,,,"['Kamal Haasan', 'Rajinikanth']",
1983,Sattam,Tamil,,,Kamal Haasan,
1983,Sagara Sangamam,Telugu,,,Kamal Haasan,
1983,Sadma,Hindi,,,Kamal Haasan,
1983,Poikkal Kudhirai,Tamil,,,Kamal Haasan,
1983,Benkiyalli Aralida Hoovu,Kannada,,,Kamal Haasan,
1983,Thoongathey Thambi Thoongathey,Tamil,,,Kamal Haasan,
1984,Yeh Desh,Hindi,,,Kamal Haasan,
1984,Ek Nai Paheli,Hindi,,,Kamal Haasan,
1984,Yaadgar,Hindi,,,Kamal Haasan,
1984,Raaj Tilak,Hindi,,,Kamal Haasan,
1984,Enakkul Oruvan,Tamil,,,Kamal Haasan,
1984,Karishmaa,Hindi,,,Kamal Haasan,
1985,Oru Kaidhiyin Diary,Tamil,,,Kamal Haasan,
1985,Kaakki Sattai,Tamil,,,Kamal Haasan,
1985,Andha Oru Nimidam,Tamil,,,Kamal Haasan,
1985,Uyarndha Ullam,Tamil,,,Kamal Haasan,
1985,Saagar,Hindi,,,Kamal Haasan,
1985,Geraftaar,Hindi,,,"['Kamal Haasan', 'Rajinikanth']",
1985,Mangamma Sabatham,Tamil,,,Kamal Haasan,
1985,Japanil Kalyanaraman,Tamil,,,Kamal Haasan,
1985,Dekha Pyar Tumhara,Hindi,,,Kamal Haasan,
1986,Swathi Muthyam,Telugu,,,Kamal Haasan,
1986,Naanum Oru Thozhilali,Tamil,,,Kamal Haasan,
1986,Vikram,Tamil,,Kamal Haasan,Kamal Haasan,Kamal Haasan
1986,Manakanakku,Tamil,,,Kamal Haasan,
1986,Oka Radha Iddaru Krishnulu,Telugu,,,Kamal Haasan,
1986,Punnagai Mannan,Tamil,,,Kamal Haasan,
1987,Kadhal Parisu,Tamil,,,Kamal Haasan,
1987,Vrutham,Malayalam,,,Kamal Haasan,
1987,Kadamai Kanniyam Kattupaadu,Tamil,,,Kamal Haasan,Kamal Haasan
1987,Per Sollum Pillai,Tamil,,,Kamal Haasan,
1987,Nayakan,Tamil,,,Kamal Haasan,
1987,Pushpaka Vimana,Silent,,,Kamal Haasan,
1988,Sathyaa,Tamil,,,Kamal Haasan,
1988,Daisy,Malayalam,,,Kamal Haasan,
1988,Soora Samhaaram,Tamil,,,Kamal Haasan,
1988,Unnal Mudiyum Thambi,Tamil,,,Kamal Haasan,
1989,Apoorva Sagodharargal,Tamil,,Kamal Haasan,Kamal Haasan,Kamal Haasan
1989,Chanakyan,Malayalam,,,Kamal Haasan,
1989,Vetri Vizha,Tamil,,,Kamal Haasan,
1989,Indrudu Chandrudu,Telugu,,Kamal Haasan,Kamal Haasan,
1990,Michael Madana Kama Rajan,Tamil,,Kamal Haasan,Kamal Haasan,
1991,Gunaa,Tamil,,,Kamal Haasan,
1992,Singaravelan,Tamil,,,Kamal Haasan,
1992,Thevar Magan,Tamil,,Kamal Haasan,Kamal Haasan,Kamal Haasan
1993,Maharasan,Tamil,,,Kamal Haasan,
1993,Kalaignan,Tamil,,,Kamal Haasan,
1994,Mahanadhi,Tamil,,,Kamal Haasan,
1994,Magalir Mattum,Tamil,,Kamal Haasan,Kamal Haasan,Kamal Haasan
1994,Nammavar,Tamil,,,Kamal Haasan,
1995,Sathi Leelavathi,Tamil,,,Kamal Haasan,
1995,Subha Sankalpam,Telugu,,,Kamal Haasan,
1995,Kuruthipunal,Tamil,,Kamal Haasan,Kamal Haasan,Kamal Haasan
1995,Drohi,Telugu,,,Kamal Haasan,
1996,Indian,Tamil,,,Kamal Haasan,
1996,Avvai Shanmugi,Tamil,,,Kamal Haasan,
1997,Chachi 420,Hindi,Kamal Haasan,Kamal Haasan,Kamal Haasan,Kamal Haasan
1998,Kaathala Kaathala,Tamil,,Kamal Haasan,Kamal Haasan,
2000,Hey Ram,Tamil,Kamal Haasan,Kamal Haasan,Kamal Haasan,Kamal Haasan
2000,Hey Ram,Hindi,Kamal Haasan,Kamal Haasan,Kamal Haasan,Kamal Haasan
2000,Thenali,Tamil,,,Kamal Haasan,
2001,Aalavandhan,Tamil,,Kamal Haasan,Kamal Haasan,
2001,Abhay,Hindi,,Kamal Haasan,Kamal Haasan,
2001,Paarthale Paravasam,Tamil,,,Kamal Haasan,
2002,Pammal K. Sambandam,Tamil,,,Kamal Haasan,
2002,Panchatanthiram,Tamil,,Kamal Haasan,Kamal Haasan,
2003,Anbe Sivam,Tamil,,Kamal Haasan,Kamal Haasan,
2003,Nala Damayanthi,Tamil,,Kamal Haasan,Kamal Haasan,Kamal Haasan
2004,Virumaandi,Tamil,Kamal Haasan,Kamal Haasan,Kamal Haasan,Kamal Haasan
2004,Vasool Raja MBBS,Tamil,,,Kamal Haasan,
2005,Mumbai Xpress,Tamil,,Kamal Haasan,Kamal Haasan,Kamal Haasan
2005,Mumbai Xpress,Hindi,,Kamal Haasan,Kamal Haasan,Kamal Haasan
2005,Rama Shama Bhama,Kannada,,,Kamal Haasan,
2006,Vettaiyaadu Vilaiyaadu,Tamil,,,Kamal Haasan,
2008,Dasavathaaram,Tamil,,Kamal Haasan,Kamal Haasan,
